Time Period,RIFLGFCY07_N.M
1969-07,6.8
1969-08,6.79
1969-09,7.36
1969-10,7.24
1969-11,7.17
1969-12,7.51
1970-01,7.73
1970-02,7.51
1970-03,7.13
1970-04,7.45
1970-05,7.93
1970-06,7.84
1970-07,7.61
1970-08,7.59
1970-09,7.4
1970-10,7.32
1970-11,6.76
1970-12,6.23
1971-01,6.16
1971-02,5.94
1971-03,5.42
1971-04,5.87
1971-05,6.42
1971-06,6.65
1971-07,6.92
1971-08,6.67
1971-09,6.2
1971-10,5.98
1971-11,5.94
1971-12,5.97
1972-01,5.91
1972-02,5.99
1972-03,6.05
1972-04,6.22
1972-05,6.07
1972-06,6.06
1972-07,6.09
1972-08,6.19
1972-09,6.43
1972-10,6.35
1972-11,6.18
1972-12,6.2
1973-01,6.36
1973-02,6.6
1973-03,6.76
1973-04,6.67
1973-05,6.83
1973-06,6.81
1973-07,7.23
1973-08,7.52
1973-09,7.08
1973-10,6.78
1973-11,6.89
1973-12,6.77
1974-01,6.88
1974-02,6.92
1974-03,7.34
1974-04,7.77
1974-05,7.93
1974-06,7.9
1974-07,8.19
1974-08,8.41
1974-09,8.25
1974-10,7.92
1974-11,7.68
1974-12,7.38
1975-01,7.45
1975-02,7.3
1975-03,7.58
1975-04,8.1
1975-05,7.9
1975-06,7.69
1975-07,7.99
1975-08,8.37
1975-09,8.39
1975-10,8.06
1975-11,7.98
1975-12,7.93
1976-01,7.67
1976-02,7.72
1976-03,7.65
1976-04,7.44
1976-05,7.77
1976-06,7.75
1976-07,7.7
1976-08,7.58
1976-09,7.41
1976-10,7.16
1976-11,6.86
1976-12,6.37
1977-01,6.92
1977-02,7.16
1977-03,7.2
1977-04,7.11
1977-05,7.26
1977-06,7.05
1977-07,7.12
1977-08,7.24
1977-09,7.21
1977-10,7.44
1977-11,7.46
1977-12,7.59
1978-01,7.86
1978-02,7.94
1978-03,7.95
1978-04,8.06
1978-05,8.25
1978-06,8.4
1978-07,8.55
1978-08,8.38
1978-09,8.42
1978-10,8.64
1978-11,8.8
1978-12,9.03
1979-01,9.14
1979-02,9.11
1979-03,9.15
