Time Period,RIFLGFCY07_N.M
1979-04,9.21
1979-05,9.23
1979-06,8.86
1979-07,8.92
1979-08,9.05
1979-09,9.38
1979-10,10.47
1979-11,10.8
1979-12,10.42
1980-01,10.77
1980-02,12.53
1980-03,13
1980-04,11.49
1980-05,10.09
1980-06,9.45
1980-07,9.84
1980-08,10.95
1980-09,11.57
1980-10,11.79
1980-11,12.71
1980-12,13
1981-01,12.66
1981-02,13.28
1981-03,13.24
1981-04,13.85
1981-05,14.3
1981-06,13.67
1981-07,14.49
1981-08,15.22
1981-09,15.65
1981-10,15.33
1981-11,13.42
1981-12,13.62
1982-01,14.67
1982-02,14.46
1982-03,13.93
1982-04,13.94
1982-05,13.74
1982-06,14.47
1982-07,14.07
1982-08,13.14
1982-09,12.36
1982-10,10.88
1982-11,10.53
1982-12,10.49
1983-01,10.36
1983-02,10.56
1983-03,10.31
1983-04,10.29
1983-05,10.3
1983-06,10.83
1983-07,11.35
1983-08,11.77
1983-09,11.61
1983-10,11.47
1983-11,11.61
1983-12,11.78
1984-01,11.58
1984-02,11.75
1984-03,12.25
1984-04,12.56
1984-05,13.34
1984-06,13.56
1984-07,13.35
1984-08,12.75
1984-09,12.6
1984-10,12.16
1984-11,11.49
1984-12,11.45
1985-01,11.27
1985-02,11.44
1985-03,11.82
1985-04,11.34
1985-05,10.72
1985-06,10.08
1985-07,10.16
1985-08,10.2
1985-09,10.24
1985-10,10.11
1985-11,9.62
1985-12,9.11
1986-01,9.03
1986-02,8.58
1986-03,7.67
1986-04,7.16
1986-05,7.65
1986-06,7.75
1986-07,7.22
1986-08,7.01
1986-09,7.28
1986-10,7.24
1986-11,7.08
1986-12,6.97
1987-01,6.92
1987-02,7.06
1987-03,7.06
1987-04,7.83
1987-05,8.47
1987-06,8.27
1987-07,8.27
1987-08,8.59
1987-09,9.26
1987-10,9.37
1987-11,8.69
1987-12,8.82
1988-01,8.48
1988-02,8.02
1988-03,8.19
1988-04,8.52
1988-05,8.89
1988-06,8.78
1988-07,8.91
1988-08,9.13
1988-09,8.87
1988-10,8.69
1988-11,8.89
1988-12,9.13
1989-01,9.14
1989-02,9.23
1989-03,9.43
1989-04,9.24
1989-05,8.88
1989-06,8.31
1989-07,7.94
1989-08,8.11
1989-09,8.23
1989-10,8.03
1989-11,7.86
1989-12,7.85
1990-01,8.2
1990-02,8.48
1990-03,8.65
1990-04,8.81
1990-05,8.78
1990-06,8.52
1990-07,8.46
1990-08,8.64
1990-09,8.79
1990-10,8.59
1990-11,8.28
1990-12,8
1991-01,7.97
1991-02,7.73
1991-03,8
1991-04,7.92
1991-05,7.94
1991-06,8.17
1991-07,8.15
1991-08,7.74
1991-09,7.48
1991-10,7.25
1991-11,7.06
1991-12,6.69
1992-01,6.7
1992-02,6.96
1992-03,7.26
1992-04,7.15
1992-05,7.06
1992-06,6.9
1992-07,6.36
1992-08,6.12
1992-09,5.96
1992-10,6.15
1992-11,6.49
1992-12,6.46
1993-01,6.26
1993-02,5.87
1993-03,5.66
1993-04,5.59
1993-05,5.66
1993-06,5.61
1993-07,5.48
1993-08,5.35
1993-09,5.08
1993-10,5.05
1993-11,5.45
1993-12,5.48
1994-01,5.43
1994-02,5.72
1994-03,6.28
1994-04,6.8
1994-05,7.01
1994-06,6.91
1994-07,7.12
1994-08,7.06
1994-09,7.28
1994-10,7.58
1994-11,7.83
1994-12,7.8
1995-01,7.79
1995-02,7.44
1995-03,7.14
1995-04,6.95
1995-05,6.5
1995-06,6.05
1995-07,6.2
1995-08,6.41
1995-09,6.13
1995-10,5.97
1995-11,5.83
1995-12,5.63
1996-01,5.54
1996-02,5.64
1996-03,6.19
1996-04,6.48
1996-05,6.66
1996-06,6.83
1996-07,6.76
1996-08,6.52
1996-09,6.73
1996-10,6.42
1996-11,6.1
1996-12,6.2
1997-01,6.47
1997-02,6.32
1997-03,6.65
1997-04,6.86
1997-05,6.66
1997-06,6.46
1997-07,6.2
1997-08,6.29
1997-09,6.2
1997-10,6.05
1997-11,5.9
1997-12,5.83
1998-01,5.53
1998-02,5.6
1998-03,5.71
1998-04,5.7
1998-05,5.72
1998-06,5.56
1998-07,5.52
1998-08,5.36
1998-09,4.76
1998-10,4.46
1998-11,4.78
1998-12,4.65
1999-01,4.8
1999-02,5.1
1999-03,5.36
1999-04,5.28
1999-05,5.64
1999-06,6.05
1999-07,5.94
1999-08,6.15
1999-09,6.12
1999-10,6.33
1999-11,6.17
1999-12,6.38
2000-01,6.7
2000-02,6.72
2000-03,6.51
2000-04,6.27
2000-05,6.69
2000-06,6.33
2000-07,6.22
2000-08,6.05
2000-09,5.98
2000-10,5.84
2000-11,5.78
2000-12,5.28
2001-01,5.13
2001-02,5.1
2001-03,4.88
2001-04,5.03
2001-05,5.24
2001-06,5.14
2001-07,5.06
2001-08,4.84
2001-09,4.51
2001-10,4.31
2001-11,4.42
2001-12,4.86
2002-01,4.79
2002-02,4.71
2002-03,5.14
2002-04,5.02
2002-05,4.9
2002-06,4.6
2002-07,4.3
2002-08,3.88
2002-09,3.5
2002-10,3.54
2002-11,3.64
2002-12,3.63
2003-01,3.6
2003-02,3.45
2003-03,3.34
2003-04,3.47
2003-05,3.07
2003-06,2.84
2003-07,3.45
2003-08,3.96
2003-09,3.74
2003-10,3.75
2003-11,3.81
2003-12,3.79
2004-01,3.65
2004-02,3.59
2004-03,3.31
2004-04,3.89
2004-05,4.31
2004-06,4.35
2004-07,4.11
2004-08,3.9
2004-09,3.75
2004-10,3.75
2004-11,3.88
2004-12,3.93
2005-01,3.97
2005-02,3.97
2005-03,4.33
2005-04,4.16
2005-05,3.94
2005-06,3.86
2005-07,4.06
2005-08,4.18
2005-09,4.08
2005-10,4.38
2005-11,4.48
2005-12,4.41
2006-01,4.37
2006-02,4.56
2006-03,4.71
2006-04,4.94
2006-05,5.03
2006-06,5.08
2006-07,5.05
2006-08,4.83
2006-09,4.68
2006-10,4.69
2006-11,4.58
2006-12,4.54
2007-01,4.75
2007-02,4.71
2007-03,4.5
2007-04,4.62
2007-05,4.69
2007-06,5.05
2007-07,4.93
2007-08,4.53
2007-09,4.33
2007-10,4.33
2007-11,3.87
2007-12,3.74
2008-01,3.31
2008-02,3.21
2008-03,2.93
2008-04,3.19
2008-05,3.46
2008-06,3.73
2008-07,3.6
2008-08,3.46
2008-09,3.25
2008-10,3.19
2008-11,2.82
2008-12,1.89
2009-01,1.98
2009-02,2.3
2009-03,2.42
2009-04,2.47
2009-05,2.81
2009-06,3.37
2009-07,3.14
2009-08,3.21
2009-09,3.02
2009-10,2.96
2009-11,2.92
2009-12,3.07
2010-01,3.21
2010-02,3.12
2010-03,3.16
2010-04,3.28
2010-05,2.86
2010-06,2.66
2010-07,2.43
2010-08,2.1
2010-09,2.05
2010-10,1.85
2010-11,2.02
2010-12,2.66
2011-01,2.72
2011-02,2.96
2011-03,2.8
2011-04,2.84
2011-05,2.51
2011-06,2.29
2011-07,2.28
2011-08,1.63
2011-09,1.42
2011-10,1.62
2011-11,1.45
2011-12,1.43
2012-01,1.38
2012-02,1.37
2012-03,1.56
2012-04,1.43
2012-05,1.21
2012-06,1.08
2012-07,0.98
2012-08,1.14
2012-09,1.12
2012-10,1.15
2012-11,1.08
2012-12,1.13
2013-01,1.3
2013-02,1.35
2013-03,1.32
2013-04,1.15
2013-05,1.31
2013-06,1.71
2013-07,1.99
2013-08,2.15
2013-09,2.22
2013-10,1.99
2013-11,2.07
2013-12,2.29
2014-01,2.29
2014-02,2.15
2014-03,2.23
2014-04,2.27
2014-05,2.12
2014-06,2.19
2014-07,2.17
2014-08,2.08
2014-09,2.22
